Losses,Loans,EQC,Combined
4043602847.274548,2124791399.1178417,3956310369.4100294,3847731963.032214
3881806222.1606174,2052721559.7883441,3799848913.5125785,3711047242.96535
3165106572.976959,1720178036.8771765,3101967532.084621,3033991769.4549456
356014106.7017651,340880743.8479086,326282080.6398756,337302971.8520343
326242370.538651,325748774.6995347,296546848.924952,325466668.8083275
6993552514.41186,3276539617.922048,6740670777.211499,6571325397.280849
1162767072.4225936,741889784.1483806,1125307094.7403367,1077906943.9010634
325246276.51186126,325246276.51186126,295551876.51186126,325246276.51186126
4862041751.857095,2458463080.822142,4728528678.540417,4603492177.727089
16447271356.779911,6328824909.210778,14789634572.58315,15648894903.600523
373889751.2170085,349877397.8782567,344127276.8067701,352280372.0123276
3205303318.0883636,1736357764.2342606,3140968257.114665,3073660289.82792
326402655.8451719,325829547.1644,296706951.110869,325546811.46158797
603506837.4206347,466219028.44857913,573449406.7272239,573966278.7302358
3272425784.0055737,1767370084.348199,3207232695.6383753,3141349770.1930585
549165980.5543978,438560859.0066105,519179578.2491381,530719347.0454972
755548190.6116773,542579489.6733567,725143975.3982365,706753398.2235812
327367335.93071437,326317289.3584965,297670578.25293905,326743262.1215288
3212393694.2933893,1740905200.0666769,3147896832.020459,3079036429.6637545
709233064.1072425,519003996.71887314,679013550.5475363,664424728.2140969
351675566.7483637,338686328.64317286,321949648.41189426,335516829.570572
2573752263.259688,1435451763.089221,2519358876.1856265,2437998356.042156
13635971003.485159,5464547593.128348,12403447500.27439,12952983298.410864
840467147.8660539,584510352.7662379,809108066.7607814,786748940.6352825
2177503706.3190646,1240074615.7162724,2128187181.9126334,2051883000.5676048
24264608208.396107,8423902334.314581,21092349237.56941,23118235703.636627
325246276.51186126,325246276.51186126,295551876.51186126,325246276.51186126
1089470821.8557363,706156677.7294743,1053434926.3753538,1009479114.144431
9747949691.816698,4278239154.5271764,9248037373.012632,9115097013.568356
327367335.93071437,326317289.3584965,297670578.25293905,326743262.1215288
341901700.715491,333694003.107961,312189163.17144066,330282895.9738657
891747588.2526323,610416252.2051277,859958536.5094818,836055412.7088984
2071832766.2039602,1190969928.3146992,2023951528.0351381,1957085551.0599623
908851823.6998482,618534562.7842906,876925276.9468685,850830524.719665
884311071.3846223,606601545.775912,852892087.5243266,829004590.6990548
325446633.14501244,325347242.09294283,295752004.2442575,325266312.1751764
2194755329.7232237,1251688836.4983087,2145405941.7179282,2068939763.662271
426237719.0542479,376335691.8964403,396407385.3080486,407731444.23770684
326162227.8853905,325708388.4671021,296466797.8319935,325406561.8183822
8371588424.630829,3792452700.3830953,8007734191.133482,7796895317.520753
1538987901.5931828,930043963.3335652,1497649201.9204283,1455891229.1216316
639853957.2830664,484749302.7619769,609751753.572228,606984908.4335654
2145011948.1043055,1227270701.7866225,2096118611.5484202,2022504506.8604348
669361738.1329567,499318504.4500015,639207163.2498015,629571346.6405082
327602322.1053978,326440003.43013537,297905427.0871696,327049733.5640896
1113495666.2904336,718556747.0007722,1076470177.273986,1030589735.6317225
2256927843.528351,1280453451.1828957,2206143546.0482054,2127151440.071943
2235376023.9055624,1270301104.9174473,2185108913.1166234,2106500019.2922785
902698554.6417624,615736574.6611606,870898807.7548007,845326104.2721078
5643397916.185173,2764515828.6110845,5477714907.105538,5357997946.150815
6918139334.97896,3241302939.106128,6670115545.724426,6501765546.567249
4208947732.0876184,2195075615.039112,4114462939.6431665,3992368473.3792076
500659191.38789386,413990220.8991317,470736966.01004165,484374722.34911495
358635216.3333706,342187805.04881626,328896677.9630654,338645361.29414696
804733006.8270568,567123152.0129154,773786421.0371257,753595321.8847989
1488934252.6506212,904019074.9958179,1448033316.5696383,1407355051.7494006
329186623.63050044,327260942.0731323,299488606.9985731,328237774.1925155
931699939.1493094,629853820.8971819,899144662.8565853,870236692.6161951
604890708.060554,466966921.20538545,574831453.3040102,574925517.0306804
325246276.51186126,325246276.51186126,295551876.51186126,325246276.51186126
565041171.3454694,446705071.20093584,535034147.21481174,542528591.9704626
538303098.5400199,433100719.04746723,508331939.17022365,521078697.7933021
9135332194.314892,4058154820.6617007,8694124016.287914,8527511414.193385
325526775.79827285,325387628.32537556,295832055.337216,325266312.1751764
5645536655.939381,2762376835.773352,5479832259.462203,5359571353.243411
4803101988.520746,2432124323.2397623,4672641173.469236,4543529256.73084
1092428605.1582985,707353395.3433849,1056388939.9583665,1012350566.3327597
331058845.0580571,328209244.1919057,301358836.98956245,328890788.4042674
2794885820.150366,1540282468.0880084,2737587260.158041,2669559395.649349
329229663.2035477,327284242.59425354,299531646.5716204,328295160.28991187
426237719.0542479,376335691.8964403,396407385.3080486,407731444.23770684
1605473796.1058881,961803542.5652579,1563314242.192691,1521336082.8653219
579764886.2078524,454172096.4397924,549741016.523338,556664914.7272252
645864958.4524674,487538821.8997954,615750768.0070087,611036070.0851078
